title,author,genre,publication_year,isbn,stock,lending_status
Synchronized value-added superstructure,斉藤 聡太郎,8,2017,978-0-350-75071-8,2,1
Pre-emptive encompassing core,Nicole Guerra,4,1981,978-0-267-21950-6,2,1
Public-key motivating data-warehouse,鈴木 涼平,2,2015,978-1-65474-172-3,2,1
Assimilated tertiary structure,藤田 千代,8,1997,978-0-642-43786-0,0,2
Synergistic multi-state definition,伊藤 直子,6,1989,978-0-14-444419-9,1,1
Managed neutral core,木村 智也,7,1983,978-0-8214-3826-8,1,1
Innovative local array,藤原 和也,7,1992,978-1-905718-51-1,2,1
Proactive background instruction set,Hannah Middleton,1,1986,978-0-349-01789-1,0,2
Cross-platform bottom-line portal,Joseph Davis,2,1986,978-0-233-33898-9,1,1
Future-proofed disintermediate algorithm,松田 明美,3,2022,978-0-309-78107-7,2,1
Realigned client-server collaboration,斎藤 幹,8,2004,978-0-500-99276-0,0,2
Fully-configurable national Graphical User Interface,伊藤 千代,5,1982,978-1-80165-152-3,2,1
Innovative non-volatile monitoring,池田 稔,1,2014,978-1-06-773252-3,1,1
Distributed human-resource Internet solution,Alan Davis,2,2019,978-0-18-675558-1,0,2
Team-oriented reciprocal complexity,佐藤 拓真,2,1984,978-1-4455-9575-7,1,1
Quality-focused transitional array,Douglas Wolfe,6,2003,978-0-11-156300-7,1,1
Expanded logistical solution,Taylor Johnson,1,1981,978-1-56352-060-0,1,1
Function-based client-server middleware,三浦 英樹,7,1993,978-1-03-687144-4,0,2
Quality-focused stable installation,森 あすか,6,1984,978-0-7773-8945-4,0,2
Up-sized 4thgeneration collaboration,Gloria Jones,8,1996,978-0-02-593966-0,2,1
Managed multi-tasking encryption,Michael Lynn,1,1993,978-1-7324894-3-1,2,1
Enhanced context-sensitive function,Daniel Harvey,6,1997,978-0-9581605-0-6,1,1
Visionary user-facing encoding,林 淳,1,1988,978-1-07-991318-7,2,1
Universal radical open architecture,Nathan Jordan,3,2022,978-1-78151-395-8,2,1
Robust even-keeled system engine,Joseph Kemp,8,2016,978-0-274-68810-4,1,1
Synchronized tertiary instruction set,森 治,8,1984,978-0-680-00105-4,1,1
Assimilated executive protocol,太田 康弘,6,1980,978-0-901022-98-1,1,1
Managed stable architecture,林 舞,3,2013,978-1-4445-8331-1,1,1
Horizontal discrete artificial intelligence,佐藤 直子,5,1988,978-1-74208-119-9,0,2
Distributed asynchronous challenge,遠藤 あすか,5,2017,978-1-08-241100-7,0,2
Synergistic logistical initiative,鈴木 涼平,6,1993,978-0-353-06539-0,0,2
Persevering hybrid throughput,山本 直子,1,1997,978-1-64440-702-8,1,1
Cloned asymmetric access,Shannon Smith,3,2002,978-1-4816-5536-1,0,2
Mandatory maximized installation,近藤 明美,2,2019,978-0-7624-6113-4,1,1
Triple-buffered empowering model,Andrew Holmes,3,1994,978-0-05-997754-6,1,1
Operative dedicated hardware,伊藤 里佳,8,1986,978-1-910713-22-8,0,2
Self-enabling real-time archive,Tracey Clark,5,2021,978-1-4903-7261-7,1,1
Ergonomic next generation model,三浦 くみ子,6,2015,978-0-514-85033-9,2,1
Public-key radical conglomeration,Michael Delgado,4,2020,978-1-116-45942-5,0,2
Synergistic exuding infrastructure,三浦 裕美子,5,1985,978-1-62584-425-5,1,1
Robust fresh-thinking synergy,吉田 修平,2,2012,978-0-10-602893-1,0,2
Decentralized radical monitoring,Steven Ashley,8,2001,978-1-82018-738-6,0,2
Persistent 6thgeneration extranet,斉藤 直子,2,1996,978-1-00-273510-7,1,1
Mandatory modular contingency,伊藤 晃,8,1984,978-0-688-96327-9,2,1
Multi-channeled eco-centric pricing structure,佐藤 花子,4,1996,978-0-368-20824-9,0,2
Seamless zero tolerance software,Jonathan Adams,3,2017,978-1-990678-58-5,0,2
Virtual foreground solution,Lance Bowman,3,1996,978-0-16-869750-2,0,2
Proactive neutral neural-net,Keith Allen,2,1991,978-0-05-811497-3,1,1
Synergistic solution-oriented success,Kirsten Smith,5,1989,978-0-470-04000-3,0,2
Profound systemic neural-net,松本 加奈,1,1981,978-0-13-018369-9,2,1
Innovative 5thgeneration pricing structure,Jonathan Martinez,6,1986,978-1-4028-7861-9,1,1
User-centric 6thgeneration paradigm,高橋 太郎,3,1999,978-1-348-95679-2,1,1
Face-to-face holistic pricing structure,遠藤 美加子,5,2010,978-0-564-93968-8,2,1
